"Part";"Value";"Device";"Package";"Description";"";
"BAT+";"";"M1X1";"1X1_WITHOUT";"";"";
"BAT-";"";"M1X1";"1X1_WITHOUT";"";"";
"BAT1";"MS621FE-FL";"CELL-SMD-6P8";"CELL-RECHARGABLE-6P8";"";"";
"BL";"BOOT0";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"C1";"10u/35V";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";
"C2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C4";"22u/10V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C5";"22u/10V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C6";"10u/10V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C7";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C9";"10u/6.3V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";
"C10";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C11";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C12";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C13";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C14";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C15";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C16";"2.2u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C18";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C19";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C20";"4.7u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C22";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C23";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C24";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C25";"1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C26";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"D1";"PMEG3010ER";"DIODE-SCHOTTKYSOD123-W";"SOD123W-DIODE";"";"";
"D2";"PMEG3010ER";"DIODE-SCHOTTKYSOD123-W";"SOD123W-DIODE";"";"";
"D3";"PMEG3010ER";"DIODE-SCHOTTKYSOD123-W";"SOD123W-DIODE";"";"";
"IC1";"STM32H7A3RG-TQFP64";"STM32H7A3-TQFP64";"TQFP64";"";"";
"IC2";"AP63205";"AP63205";"SOT23-6";"";"";
"IC3";"LDO-TLV76733DRV";"LDO-TLV767";"WSON-6-2X2";"";"";
"IC4";"ICM42688";"ICM42605";"LGA14-2.5X3";"";"";
"JP1";"USB4105-GF-A-120";"USB-C";"USB-C";"";"";
"JP2";"NT";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"Disconnectable Crimp style connector, 1.0mm pitch4 contacts";"";
"JP3";"NT";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"Disconnectable Crimp style connector, 1.0mm pitch4 contacts";"";
